id,neighbourhood_group_cleansed,neighbourhood_cleansed,latitude,longitude,room_type,host_is_superhost,price,occupancy_rate,review_scores_rating,availability_365,has_price
1441911296090182755,Mitte,Regierungsviertel,52.5087422,13.3913005,Entire home/apt,No,97.0,10.4,4.67,205,True
1442148351164360317,Lichtenberg,Neu Lichtenberg,52.50365,13.47651,Entire home/apt,No,108.0,0.0,,357,True
1442531403969052422,Lichtenberg,Karlshorst,52.47837,13.53052,Entire home/apt,No,89.0,34.5,4.8,328,True
1442579560125941047,Reinickendorf,Nord 2,52.5916369,13.3268117,Entire home/apt,No,124.0,0.0,,60,True
1443399844389524669,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.48598639237424,13.40680919587612,Entire home/apt,No,,27.7,5.0,0,False
1443468690797034999,Tempelhof - Schöneberg,Schöneberg-Nord,52.4935049,13.3563704,Entire home/apt,No,79.0,13.7,5.0,282,True
1443656891885911467,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.49202,13.39407,Entire home/apt,Yes,115.0,44.9,4.38,345,True
1444124012656855081,Friedrichshain-Kreuzberg,Tempelhofer Vorstadt,52.4926548,13.4221147,Private room,No,88.0,10.4,5.0,363,True
1444364614289919520,Lichtenberg,Alt-Lichtenberg,52.53375009233769,13.49360279738903,Private room,No,56.0,13.7,5.0,269,True
1444644208736898977,Pankow,Prenzlauer Berg Süd,52.5321544,13.4240148,Private room,No,68.0,62.2,4.89,288,True
1444705983811945791,Mitte,Parkviertel,52.54803,13.35197,Private room,No,103.0,0.0,,344,True
1444707574500328133,Mitte,Parkviertel,52.54802676417716,13.35287801534425,Private room,No,134.0,0.0,,282,True
1444735613398126796,Charlottenburg-Wilm.,Schmargendorf,52.4814,13.29711,Entire home/apt,Yes,210.0,0.0,,365,True
1444783093386013091,Pankow,Helmholtzplatz,52.54411,13.41575,Entire home/apt,Unknown,95.0,17.3,3.4,364,True
1444787903677901380,Mitte,Osloer Straße,52.560875,13.3814939,Entire home/apt,Yes,85.0,0.0,,319,True
1444788187519670804,Tempelhof - Schöneberg,Schöneberg-Süd,52.4799845,13.3486936,Entire home/apt,Yes,71.0,0.0,,234,True
1444813988876937239,Pankow,Weißensee,52.5538107,13.4301798,Entire home/apt,No,180.0,41.4,4.92,336,True
1444832681212342610,Charlottenburg-Wilm.,Westend,52.516728,13.272486,Private room,No,115.0,17.3,5.0,221,True
1444913631141985485,Charlottenburg-Wilm.,Kantstraße,52.50707,13.31273,Entire home/apt,No,74.0,0.0,,264,True
